planet_name,planet_status,mass,orbital_period,semi_major_axis,eccentricity,discovered,detection_type,star_name
GJ 785 b,Confirmed,0.0532,74.72,0.32,0.13,2010,Radial Velocity,GJ 785
GJ 785 c,Confirmed,0.076,525.8,1.18,0.32,2011,Radial Velocity,GJ 785
GJ 832 b,Confirmed,0.689047604,3416,3.6,0.08,2008,Radial Velocity,GJ 832
GJ 832 c,Confirmed,0.01573168,35.67,0.162,0.03,2014,Radial Velocity,GJ 832
GJ 849 b,Confirmed,0.9,1914,2.35,0.012,2006,Radial Velocity,GJ 849
GJ 86 A b,Confirmed,4.01,15.766,0.11,0.046,2000,Radial Velocity,GJ 86
GJ 876 b,Confirmed,1.938,61.03,0.208317,0,2000,Radial Velocity,GJ 876
GJ 876 c,Confirmed,0.856,30.23,0.12959,0.002,2000,Radial Velocity,GJ 876
GJ 876 d,Confirmed,0.022,1.94,0.02080665,0.081,2005,Radial Velocity,GJ 876
GJ 876 e,Confirmed,0.045,124.69,0.3343,0.073,2010,Radial Velocity,GJ 876
GJ 9827 b,Confirmed,0.0258,1.2089819,0.0211,0,2017,Primary Transit,GJ 9827
GJ 9827 d,Confirmed,0.012,6.201472,0.0627,0,2017,Primary Transit,GJ 9827
HAT-36 b,Confirmed,2.79,4.1752379,0.0529,0.294,2017,Primary Transit,HATS-36
HAT-P-1 b,Confirmed,0.525,4.46529976,0.05561,0.067,2006,Primary Transit,HAT-P-1
HAT-P-11 b,Confirmed,0.082434006,4.887802443,0.053,0.265,2009,Primary Transit,HAT-P-11
HAT-P-12 b,Confirmed,0.210489885,3.2130598,0.0384,0,2009,Primary Transit,HAT-P-12
HAT-P-13 b,Confirmed,0.85,2.916243,0.0426,0.0142,2009,Primary Transit,HAT-P-13
HAT-P-13 c,Confirmed,14.28,446.27,1.186,0.6616,2009,Radial Velocity,HAT-P-13
HAT-P-14 b,Confirmed,2.2,4.627657,0.0594,0.095,2010,Primary Transit,HAT-P-14
HAT-P-15 b,Confirmed,1.946,10.863502,0.0964,0.19,2010,Primary Transit,HAT-P-15
HAT-P-16 b,Confirmed,4.193,2.77596,0.0413,0.036,2010,Primary Transit,HAT-P-16
HAT-P-17 b,Confirmed,0.534,10.338523,0.0882,0.346,2010,Primary Transit,HAT-P-17
HAT-P-17 c,Confirmed,1.4,1798,2.75,0.1,2010,Radial Velocity,HAT-P-17
HAT-P-18 b,Confirmed,0.183,5.508029,0.0559,0.106,2010,Primary Transit,HAT-P-18
HAT-P-19 b,Confirmed,0.292,4.008784,0.0466,0.067,2010,Primary Transit,HAT-P-19
HAT-P-2 b,Confirmed,8.74,5.6334729,0.0674,0.5171,2007,Primary Transit,HAT-P-2
HAT-P-20 b,Confirmed,7.246,2.875317,0.0361,0.015,2010,Primary Transit,HAT-P-20
HAT-P-21 b,Confirmed,4.063,4.124461,0.0494,0.228,2010,Primary Transit,HAT-P-21
HAT-P-22 b,Confirmed,2.147,3.21222,0.0414,0.016,2010,Primary Transit,HAT-P-22
HAT-P-23 b,Confirmed,2.09,1.212884,0.0232,0.106,2010,Primary Transit,HAT-P-23
HAT-P-24 b,Confirmed,0.685,3.35524,0.0465,0.067,2010,Primary Transit,HAT-P-24
HAT-P-25 b,Confirmed,0.567,3.652836,0.0466,0.032,2010,Primary Transit,HAT-P-25
HAT-P-26 b,Confirmed,0.058521851,4.234516,0.0479,0.124,2010,Primary Transit,HAT-P-26
HAT-P-27-WASP-40 b,Confirmed,0.66,3.0395803,0.0403,0.078,2011,Primary Transit,HAT-P-27-WASP-40
HAT-P-28 b,Confirmed,0.626,3.257215,0.0434,0.051,2011,Primary Transit,HAT-P-28
HAT-P-29 b,Confirmed,0.778,5.723186,0.0667,0.095,2011,Primary Transit,HAT-P-29
HAT-P-3 b,Confirmed,0.591,2.899703,0.03866,0,2007,Primary Transit,HAT-P-3
HAT-P-30-WASP-51 b,Confirmed,0.711,2.810595,0.0419,0.035,2011,Primary Transit,HAT-P-30-WASP-51
HAT-P-31 b,Confirmed,2.171,5.005425,0.055,0.245,2011,Primary Transit,HAT-P-31
HAT-P-32 b,Confirmed,0.941,2.150009,0.0344,0.163,2011,Primary Transit,HAT-P-32
HAT-P-33 b,Confirmed,0.763,3.474474,0.0503,0.148,2011,Primary Transit,HAT-P-33
HAT-P-34 b,Confirmed,3.328,5.452654,0.0677,0.441,2012,Primary Transit,HAT-P-34
HAT-P-35 b,Confirmed,1.054,3.646706,0.0498,0.025,2012,Primary Transit,HAT-P-35
HAT-P-36 b,Confirmed,1.832,1.327347,0.0238,0.063,2012,Primary Transit,HAT-P-36
HAT-P-37 b,Confirmed,1.169,2.797436,0.0379,0.058,2012,Primary Transit,HAT-P-37
HAT-P-38 b,Confirmed,0.267,4.640382,0.0523,0.067,2012,Primary Transit,HAT-P-38
HAT-P-4 b,Confirmed,0.68,3.0565114,0.0446,0,2007,Primary Transit,HAT-P-4
HAT-P-42 b,Confirmed,0.975,4.641876,0.0575,0,2012,Primary Transit,HAT-P-42
HAT-P-43 b,Confirmed,0.66,3.332688,0.0443,0,2012,Primary Transit,HAT-P-43
HAT-P-44 b,Confirmed,0.392,4.301217,0.0507,0.072,2013,Primary Transit,HAT-P-44
HAT-P-45 b,Confirmed,0.892,3.128992,0.0452,0.049,2013,Primary Transit,HAT-P-45
HAT-P-46 b,Confirmed,0.493,4.463129,0.0577,0.123,2013,Primary Transit,HAT-P-46
HAT-P-47 b,Confirmed,0.206,4.732182,0.0615,0,2016,Primary Transit,HAT-P-47
HAT-P-48 b,Confirmed,0.168,4.40865,0.0543,0,2016,Primary Transit,HAT-P-48
HAT-P-49 b,Confirmed,1.73,2.691548,0.0438,0,2014,Primary Transit,HAT-P-49
HAT-P-5 b,Confirmed,1.06,2.788491,0.04079,0,2007,Primary Transit,HAT-P-5
HAT-P-50 b,Confirmed,1.36,3.1220109,0.0453,0.115,2015,Primary Transit,HAT-P-50
HAT-P-51 b,Confirmed,0.309,4.2180278,0.05069,0.123,2015,Primary Transit,HAT-P-51
HAT-P-52 b,Confirmed,0.819,2.7535953,0.03694,0.047,2015,Primary Transit,HAT-P-52
HAT-P-53 b,Confirmed,1.487,1.9616241,0.03159,0.134,2015,Primary Transit,HAT-P-53
HAT-P-54 b,Confirmed,0.76,3.799847,0.04117,0.074,2014,Primary Transit,HAT-P-54
HAT-P-55 b,Confirmed,0.582,3.5852467,0.04604,0.139,2015,Primary Transit,HAT-P-55
HAT-P-56 b,Confirmed,2.2,2.7908327,0.0423,0.246,2015,Primary Transit,HAT-P-56
HAT-P-57 b,Confirmed,1.85,2.465295,0.0406,0,2015,Primary Transit,HAT-P-57
HAT-P-6 b,Confirmed,1.057,3.853003,0.05235,0,2007,Primary Transit,HAT-P-6
HAT-P-65 b,Confirmed,0.527,2.6054552,0.03951,0.3,2016,Primary Transit,HAT-P-65
HAT-P-66 b,Confirmed,0.783,2.972086,0.04363,0,2016,Primary Transit,HAT-P-66
HAT-P-67 b,Confirmed,0.34,4.81010205,0.06505,0.24,2017,Primary Transit,HAT-P-67
HAT-P-7 b,Confirmed,1.741,2.204735471,0.0379,0,2008,Primary Transit,HAT-P-7
HAT-P-8 b,Confirmed,1.34,3.0763402,0.0449,0,2008,Primary Transit,HAT-P-8
HAT-P-9 b,Confirmed,0.67,3.922814,0.053,0,2008,Primary Transit,HAT-P-9
HATS-1 b,Confirmed,1.855,3.446459,0.0444,0.12,2012,Primary Transit,HATS-1
HATS-10 b,Confirmed,0.526,3.312846,0.0449,0.5,2015,Primary Transit,HATS-10
HATS-11 b,Confirmed,0.85,3.6191613,0.04614,0.34,2016,Primary Transit,HATS-11
HATS-12 b,Confirmed,2.4,3.142833,0.04795,0.085,2016,Primary Transit,HATS-12
HATS-13 b,Confirmed,0.543,3.0440499,0.04057,0.18,2015,Primary Transit,HATS-13
HATS-14 b,Confirmed,1.071,2.7667641,0.03815,0.142,2015,Primary Transit,HATS-14
HATS-15 b,Confirmed,2.17,1.74748753,0.02712,0,2014,Primary Transit,HATS-15
HATS-16 b,Confirmed,3.27,2.686502,0.03744,0,2015,Primary Transit,HATS-16
HATS-17 b,Confirmed,1.338,16.254611,0.1308,0.029,2016,Primary Transit,HATS-17
HATS-18 b,Confirmed,1.98,0.8378434,0.01761,0.166,2016,Primary Transit,HATS-18
HATS-19 b,Confirmed,0.427,4.569673,0.0589,0.3,2016,Primary Transit,HATS-19
HATS-2 b,Confirmed,1.345,1.354133,0.023,0,2013,Primary Transit,HATS-2
HATS-20 b,Confirmed,0.273,3.7992969,0.04619,0.5,2016,Primary Transit,HATS-20
HATS-21 b,Confirmed,0.332,3.5543973,0.04676,0,2016,Primary Transit,HATS-21
HATS-22 b,Confirmed,2.74,4.7228124,0.05025,0.079,2016,Primary Transit,HATS-22
HATS-23 b,Confirmed,1.47,2.1605156,0.03397,0.114,2015,Primary Transit,HATS-23
HATS-24 b,Confirmed,2.44,1.3484954,0.02547,0.24,2016,Primary Transit,HATS-24
HATS-25 b,Confirmed,0.613,4.2986432,0.05163,0.088,2016,Primary Transit,HATS-25
HATS-26 b,Confirmed,0.65,3.3023881,0.04735,0.122,2016,Primary Transit,HATS-26
HATS-27 b,Confirmed,0.53,4.637038,0.0611,0.29,2016,Primary Transit,HATS-27
HATS-28 b,Confirmed,0.672,3.1810781,0.04131,0.101,2016,Primary Transit,HATS-28
HATS-29 b,Confirmed,0.653,4.6058749,0.05475,0.079,2016,Primary Transit,HATS-29
HATS-30 b,Confirmed,0.706,3.1743516,0.04354,0.048,2016,Primary Transit,HATS-30
HATS-31 b,Confirmed,0.88,3.37796,0.0478,0.233,2016,Primary Transit,HATS-31
HATS-32 b,Confirmed,0.92,2.8126548,0.04024,0.471,2016,Primary Transit,HATS-32
HATS-33 b,Confirmed,1.192,2.5495551,0.03727,0.08,2016,Primary Transit,HATS-33
HATS-34 b,Confirmed,0.941,2.1061607,0.03166,0,2016,Primary Transit,HATS-34
HATS-35 b,Confirmed,1.222,1.8209933,0.03199,0,2016,Primary Transit,HATS-35
HATS-4 b,Confirmed,1.323,2.516729,0.0362,0.013,2014,Primary Transit,HATS-4
HATS-43 b,Confirmed,0.261,4.3888497,0.04944,0.173,2017,Primary Transit,HATS-43
HATS-44 b,Confirmed,0.56,2.7439004,0.03649,0.279,2017,Primary Transit,HATS-44
HATS-45 b,Confirmed,0.7,4.1876244,0.05511,0.24,2017,Primary Transit,HATS-45
HATS-46 b,Confirmed,0.173,4.7423729,0.05367,0.559,2017,Primary Transit,HATS-46
HATS-5 b,Confirmed,0.237,4.763387,0.0542,0.019,2014,Primary Transit,HATS-5
HATS-50 b,Confirmed,0.39,3.8297015,0.05046,0.516,2017,Primary Transit,HATS-50
HATS-51 b,Confirmed,0.768,3.3488702,0.04639,0.33,2017,Primary Transit,HATS-51
HATS-52 b,Confirmed,2.24,1.3665436,0.02498,0.246,2017,Primary Transit,HATS-52
HATS-53 b,Confirmed,0.595,3.8537768,0.04753,0.33,2017,Primary Transit,HATS-53
HATS-7 b,Confirmed,0.12,3.185315,0.04012,0,2015,Primary Transit,HATS-7
HATS-8 b,Confirmed,0.138,3.583893,0.04667,0.38,2015,Primary Transit,HATS-8
HATS-9 b,Confirmed,0.839,1.9153073,0.03048,0.129,2015,Primary Transit,HATS-9
HD 100655 b,Confirmed,1.7,157.57,0.76,0.085,2011,Radial Velocity,HD 100655
HD 100777 b,Confirmed,1.16,383.7,1.03,0.36,2007,Radial Velocity,HD 100777
HD 10180 c,Confirmed,0.041217,5.75979,0.0641,0.045,2010,Radial Velocity,HD 10180
HD 10180 d,Confirmed,0.03696945,16.3579,0.1286,0.088,2010,Radial Velocity,HD 10180
HD 10180 e,Confirmed,0.07897304,49.745,0.2699,0.026,2010,Radial Velocity,HD 10180
HD 10180 f,Confirmed,0.07519743,122.76,0.4929,0.135,2010,Radial Velocity,HD 10180
HD 10180 g,Confirmed,0.06733159,601.2,1.422,0.19,2010,Radial Velocity,HD 10180
HD 10180 h,Confirmed,0.202624,2222,3.4,0.08,2010,Radial Velocity,HD 10180
