planet_name,planet_status,mass,orbital_period,semi_major_axis,eccentricity,discovered,detection_type,star_name
sig Per b,Confirmed,6.5,579.8,1.8,0.3,2014,Radial Velocity,sig Per
tau Boo b,Confirmed,5.84,3.31249,0.046,0.0787,1996,Radial Velocity,tau Boo
tau Cet e,Confirmed,0.0124,162.87,0.538,0.18,2012,Radial Velocity,tau Cet
tau Cet f,Confirmed,0.0124,636.13,1.334,0.16,2012,Radial Velocity,tau Cet
tau Cet g,Confirmed,0.00551,20,0.133,0.06,2017,Radial Velocity,tau Cet
tau Cet h,Confirmed,0.00576,49.41,0.243,0.23,2017,Radial Velocity,tau Cet
tau Gem b,Confirmed,20.6,305.5,1.17,0.031,2004,Radial Velocity,tau Gem
ups And b,Confirmed,0.62,4.61711,0.059,0.01186,1996,Radial Velocity,ups And
ups And c,Confirmed,9.1,240.937,0.861,0.2445,1999,Radial Velocity,ups And
ups And d,Confirmed,23.58,1281.439,2.55,0.316,1999,Radial Velocity,ups And
ups And e,Confirmed,1.059,3848.86,5.2456,0.00536,2010,Radial Velocity,ups And
