star_name,ra,dec,class
HR 4485,11 37 48.41,-67 37 13.1,STAR K0III
HR 837 ,02 45 32.59,-67 37 00.1,STAR A2IV
HR 4703,12 22 07.30,-67 31 18.8,STAR A5V
HR 8547,22 28 37.70,-67 29 21.1,STAR A4V
HR 5684,15 20 40.70,-67 28 53.0,STAR B3V
HR 8855,23 18 19.99,-67 28 16.0,STAR K2III
HR 6182,16 43 22.10,-67 25 57.0,STAR A0V
HR 7644,20 05 32.81,-67 19 14.9,STAR G3V
HR 7107,18 56 57.00,-67 14 01.0,STAR F5I
HR 6368,17 13 17.50,-67 11 48.1,STAR K0III
HR 4806,12 38 52.51,-67 11 35.2,STAR B1I
HR 1744,05 13 45.41,-67 11 07.1,STAR K2III
HR 6204,16 46 40.01,-67 06 34.9,STAR A0
HR 5621,15 09 29.90,-67 05 03.1,STAR F6II
HR 3713,09 17 51.70,-67 03 02.9,STAR K2III
HR 4129,10 30 08.71,-66 59 06.0,STAR B4IV
HR 4448,11 32 19.90,-66 57 43.9,STAR K1III
HR 7603,20 00 22.99,-66 56 57.8,STAR K0III
HR 7612,20 01 52.39,-66 56 39.1,STAR K2IV
HR 1014,03 17 58.99,-66 55 36.8,STAR A3V
HR 4089,10 22 58.10,-66 54 06.1,STAR B8V
HR 2064,05 49 53.59,-66 54 04.0,STAR B6V
HR 8809,23 10 11.69,-66 51 27.0,STAR K0III
HR 4530,11 48 14.30,-66 48 52.9,STAR K4III
HR 7513,19 49 53.30,-66 48 46.1,STAR K4III
HR 3537,08 50 34.80,-66 47 35.2,STAR F5IV
HR 5002,13 17 13.01,-66 47 01.0,STAR K2I
HR 7881,20 41 57.10,-66 45 38.9,STAR B9III
HR 4520,11 45 36.41,-66 43 43.0,STAR A7III
HR 3813,09 31 32.90,-66 43 09.8,STAR K1III
HR 823 ,02 43 26.59,-66 42 51.8,STAR F5V
HR 3783,09 28 30.60,-66 42 06.8,STAR A0V
HR 7435,19 39 52.10,-66 41 08.2,STAR A1V
HR 1598,04 53 30.50,-66 40 32.2,STAR M0III
HR 7278,19 17 12.00,-66 39 41.0,STAR A5V
HR 7130,19 00 03.50,-66 39 11.9,STAR K0III
HR 5500,14 48 44.40,-66 35 38.0,STAR B2V
HR 5320,14 16 38.59,-66 35 16.1,STAR B1III
HR 8908,23 27 07.20,-66 34 52.0,STAR K4III
HR 1960,05 36 54.70,-66 33 37.1,STAR B9V
HR 4814,12 39 55.61,-66 30 42.1,STAR B8V
HR 722 ,02 25 26.30,-66 29 40.9,STAR M5III
HR 1092,03 30 51.60,-66 29 22.9,STAR B8V
HR 380 ,01 17 03.60,-66 23 53.2,STAR A0V
HR 3615,09 02 26.81,-66 23 46.0,STAR A2IV
HR 4025,10 13 30.60,-66 22 23.2,STAR A0
HR 7663,20 08 20.50,-66 21 16.9,STAR K5III
HR 5771,15 36 43.20,-66 19 00.8,STAR K1III
HR 5253,14 00 52.20,-66 16 07.0,STAR F2III
HR 4977,13 12 48.91,-66 13 36.8,STAR A0V
HR 7913,20 44 57.50,-66 12 11.2,STAR A7III
HR 3081,07 49 40.99,-66 11 44.9,STAR B9V
HR 7665,20 08 43.61,-66 10 54.8,STAR G6IV
HR 5382,14 25 39.50,-66 10 23.9,STAR A3V
HR 3347,08 25 44.21,-66 08 12.8,STAR K1III
HR 3036,07 44 43.90,-66 04 18.8,STAR G6III
HR 600 ,01 59 41.09,-66 03 59.0,STAR K1III
HR 2194,06 06 09.41,-66 02 22.9,STAR A0V
HR 5539,14 54 42.41,-65 59 29.0,STAR B3V
HR 7455,19 41 37.49,-65 51 15.1,STAR M0III
HR 4692,12 20 28.01,-65 50 34.1,STAR B9V
HR 3495,08 44 30.00,-65 49 32.2,STAR A4V
HR 5391,14 27 07.10,-65 49 18.1,STAR K3III
HR 3995,10 08 42.60,-65 48 55.1,STAR K0III
HR 5242,13 58 31.20,-65 48 02.2,STAR K0III
HR 4720,12 25 17.30,-65 46 14.2,STAR G8IV
HR 1104,03 34 24.70,-65 45 51.8,STAR A3V
HR 2015,05 44 46.39,-65 44 08.2,STAR A7V
HR 4615,12 06 23.11,-65 42 33.1,STAR G8III
HR 4115,10 27 25.30,-65 42 16.9,STAR A2V
HR 4669,12 17 06.00,-65 41 34.1,STAR A0V
HR 5093,13 33 35.69,-65 37 57.0,STAR A0V
HR 3280,08 18 18.91,-65 36 47.9,STAR K1III
HR 5766,15 36 17.40,-65 36 47.9,STAR F3IV
HR 7524,19 51 01.30,-65 36 18.0,STAR F2III
HR 2245,06 11 15.00,-65 35 21.8,STAR M2III
HR 9076,23 59 55.01,-65 34 37.9,STAR B9IV
HR 2408,06 30 03.00,-65 34 05.9,STAR F0III
HR 4611,12 05 53.21,-65 32 49.9,STAR B6I
HR 6151,16 35 44.81,-65 29 43.1,STAR G8III
HR 6634,17 53 18.41,-65 29 21.1,STAR K0III
HR 187 ,00 42 28.39,-65 28 05.2,STAR F6V
HR 304 ,01 02 42.91,-65 27 22.0,STAR M2III
HR 5851,15 47 53.59,-65 26 33.0,STAR A5III
HR 5852,15 47 53.71,-65 26 33.0,STAR F0IV
HR 584 ,01 57 53.59,-65 25 28.9,STAR G8II
HR 4492,11 39 29.40,-65 23 52.1,STAR G2III
HR 6233,16 51 53.90,-65 22 32.2,STAR B8II
HR 8181,21 26 26.59,-65 21 58.0,STAR F6V
HR 4952,13 08 07.01,-65 18 23.0,STAR B0I
HR 5611,15 07 56.81,-65 16 32.2,STAR K3III
HR 4549,11 51 51.19,-65 12 22.0,STAR B4V
HR 5876,15 52 56.71,-65 09 09.0,STAR A5IV
HR 5000,13 16 44.81,-65 08 17.9,STAR F5V
HR 160 ,00 36 37.39,-65 07 28.9,STAR K2III
HR 4185,10 40 11.30,-65 06 02.2,STAR B9
HR 7036,18 48 37.80,-65 04 40.1,STAR A8V
HR 3891,09 47 06.70,-65 04 21.0,STAR B7III
HR 3890,09 47 06.10,-65 04 18.8,STAR A6I
HR 5920,15 58 58.10,-65 02 16.1,STAR B7III
HR 5463,14 42 30.41,-64 58 31.1,STAR A0
HR 8540,22 27 19.99,-64 57 59.0,STAR B9V
HR 4401,11 23 21.79,-64 57 18.0,STAR B5V
HR 3841,09 36 05.11,-64 57 02.2,STAR A2V
HR 3761,09 26 44.21,-64 55 46.9,STAR A3V
HR 77  ,00 20 04.30,-64 52 28.9,STAR F9V
HR 7012,18 45 26.90,-64 52 17.0,STAR A5IV
HR 3671,09 12 02.80,-64 51 48.0,GLOBULAR CLUSTER EXTENDED GALACTIC OR EXTRAGALACTIC
HR 4326,11 06 24.19,-64 50 22.9,STAR A3V
HR 8249,21 38 02.90,-64 49 27.1,STAR A0IV
HR 1175,03 44 12.00,-64 48 24.8,STAR K2III
HR 6582,17 45 43.99,-64 43 26.0,STAR K2II
HR 8331,21 50 00.10,-64 42 45.0,STAR K0III
HR 8945,23 35 12.70,-64 41 21.8,STAR F2IV
HR 8125,21 18 00.31,-64 40 54.1,STAR B8V
HR 4065,10 19 04.80,-64 40 35.0,STAR A1V
HR 5069,13 29 07.61,-64 40 32.9,STAR A0
HR 6996,18 42 22.51,-64 38 35.2,STAR A5V
HR 4616,12 06 52.90,-64 36 49.0,STAR F2III
HR 3346,08 25 51.60,-64 36 02.9,STAR G8III
