star_name,ra,dec,class
HR 2475,06 41 14.09,-40 20 58.9,STAR B4V
HR 3243,08 14 02.90,-40 20 53.2,STAR K1II
HR 4015,10 13 45.91,-40 20 44.9,STAR K1III
HR 3514,08 49 39.19,-40 19 14.2,STAR A2IV
HR 4019,10 13 56.59,-40 18 38.2,STAR G8III
HR 6678,17 56 55.80,-40 18 20.2,STAR K3III
HR 897 ,02 58 15.70,-40 18 16.9,STAR A4III
HR 898 ,02 58 16.30,-40 18 15.8,STAR A1V
HR 9046,23 54 38.59,-40 18 00.0,STAR F8IV
HR 2323,06 24 44.50,-40 17 03.1,STAR B9V
HR 1106,03 37 05.71,-40 16 28.9,STAR K1III
HR 8100,21 12 13.61,-40 16 09.8,STAR F5IV
HR 3439,08 40 19.30,-40 15 51.1,STAR B9V
HR 5259,14 01 19.01,-40 13 19.9,STAR K1III
HR 5449,14 36 44.21,-40 12 42.1,STAR B8
HR 5862,15 47 25.39,-40 11 39.1,STAR G5III
HR 9001,23 46 01.20,-40 10 57.0,STAR A7III
HR 4889,12 53 26.21,-40 10 44.0,STAR A7III
HR 4836,12 43 26.30,-40 10 40.1,STAR A8V
HR 5065,13 27 14.69,-40 09 47.2,STAR G8III
HR 3421,08 37 19.90,-40 08 51.0,STAR G4IV
HR 6615,17 47 35.09,-40 07 36.8,STAR F2I
HR 6631,17 50 11.21,-40 05 26.2,STAR A2I
HR 5767,15 34 01.61,-40 03 58.0,STAR M2III
HR 3025,07 46 33.41,-40 03 34.9,STAR B2V
HR 2907,07 33 13.51,-40 03 32.0,STAR B8IV
HR 5136,13 39 48.60,-40 03 06.8,STAR K2III
HR 7422,19 34 08.50,-40 02 04.9,STAR A3III
HR 3165,08 03 35.09,-40 00 11.9,STAR O5
HR 2952,07 38 24.19,-39 59 29.0,STAR A0
HR 4817,12 39 52.51,-39 59 15.0,STAR B8II
HR 3968,10 04 23.40,-39 58 32.9,STAR K1III
HR 3404,08 35 12.60,-39 58 12.0,STAR G1V
HR 2082,05 54 52.51,-39 57 29.2,STAR M0III
HR 853 ,02 50 47.90,-39 55 54.1,STAR A0V
HR 109 ,00 28 26.40,-39 54 54.0,STAR M0III
HR 5572,14 58 36.79,-39 54 24.1,STAR K2III
HR 2917,07 33 58.51,-39 54 20.9,STAR K2III
HR 5198,13 50 19.39,-39 54 04.0,STAR K1III
HR 6948,18 33 00.91,-39 53 31.9,STAR F5IV
HR 7552,19 51 50.59,-39 52 27.8,STAR A0
HR 5400,14 26 49.90,-39 52 26.0,STAR B7IV
HR 4796,12 36 01.20,-39 52 12.0,STAR A0V
HR 5918,15 56 06.50,-39 51 51.1,STAR B6V
HR 794 ,02 40 40.01,-39 51 20.2,STAR K0III
HR 7255,19 09 39.70,-39 49 41.2,STAR K0III
HR 7136,18 57 34.70,-39 49 23.9,STAR A3
HR 7987,20 53 40.20,-39 48 36.0,STAR K2III
HR 3729,09 22 36.70,-39 46 28.9,STAR K1III
HR 6392,17 14 27.70,-39 46 00.8,STAR G5I
HR 5058,13 26 07.80,-39 45 19.1,STAR K0III
HR 5135,13 39 40.80,-39 44 53.2,STAR M4III
HR 1631,05 01 34.51,-39 43 05.2,STAR G5III
HR 5719,15 24 44.90,-39 42 37.1,STAR A0
HR 6942,18 32 21.41,-39 42 14.0,STAR A3V
HR 4568,11 55 54.70,-39 41 21.1,STAR K0III
HR 7031,18 44 57.19,-39 41 11.0,STAR K3II
HR 4879,12 51 56.81,-39 40 50.9,STAR B8V
HR 1793,05 23 24.00,-39 40 43.0,STAR M1III
HR 2702,07 08 51.10,-39 39 20.9,STAR B2IV
HR 1584,04 54 54.79,-39 37 43.0,STAR K3III
HR 3286,08 21 24.19,-39 37 14.9,STAR A3V
HR 3225,08 11 21.50,-39 37 07.0,STAR K3I
HR 3844,09 38 40.70,-39 36 51.1,STAR F5
HR 5446,14 36 24.19,-39 35 49.9,STAR K1III
HR 3874,09 44 15.79,-39 34 16.0,STAR F2V
HR 4153,10 35 12.91,-39 33 46.1,STAR
HR 7915,20 42 52.99,-39 33 31.0,STAR K1III
HR 8411,22 06 06.89,-39 32 35.9,STAR K3III
HR 2507,06 46 03.29,-39 32 24.0,STAR B6V
HR 7156,18 59 11.11,-39 32 04.9,STAR A0
HR 5378,14 23 02.21,-39 30 43.9,STAR B7III
HR 6381,17 12 16.20,-39 30 24.8,STAR A1V
HR 7464,19 39 55.70,-39 25 59.9,STAR A2
HR 6080,16 20 32.59,-39 25 50.9,STAR B9V
HR 3737,09 24 16.30,-39 25 32.9,STAR A7V
HR 8104,21 13 03.10,-39 25 31.1,STAR F5IV
HR 5561,14 56 35.81,-39 24 58.0,STAR A0V
HR 5089,13 31 02.69,-39 24 27.0,STAR G9I
HR 1981,05 43 30.19,-39 24 24.8,STAR F3V
HR 3602,09 02 06.41,-39 24 09.0,STAR K1III
HR 3694,09 16 57.19,-39 24 05.0,STAR K5III
HR 6221,16 46 47.81,-39 22 37.9,STAR K0III
HR 1526,04 45 55.39,-39 21 24.1,STAR K1III
HR 5773,15 34 20.90,-39 20 57.8,STAR B9V
HR 7259,19 10 01.70,-39 20 26.9,STAR K0II
HR 3032,07 47 05.81,-39 19 53.0,STAR B8III
HR 4713,12 23 36.89,-39 18 11.2,STAR F2V
HR 3140,07 59 28.39,-39 17 49.9,STAR F5III
HR 2262,06 16 35.59,-39 15 51.8,STAR A2V
HR 3656,09 11 40.99,-39 15 32.0,STAR B6V
HR 2791,07 18 33.60,-39 12 37.1,STAR A1V
HR 7933,20 46 20.09,-39 11 57.1,STAR B8V
HR 2488,06 43 23.30,-39 11 35.9,STAR A8
HR 6094,16 24 01.30,-39 11 35.2,STAR G5V
HR 5805,15 38 32.69,-39 09 38.9,STAR B9V
HR 8685,22 51 02.21,-39 09 24.8,STAR M0III
HR 3517,08 49 52.39,-39 08 30.1,STAR A5III
HR 6683,17 57 57.79,-39 08 12.8,STAR A0IV
HR 8552,22 28 39.19,-39 07 54.8,STAR G9III
HR 3812,09 33 07.80,-39 07 44.0,STAR F0IV
HR 5807,15 38 42.31,-39 07 41.2,STAR A3
HR 5999,16 08 34.20,-39 06 19.1,STAR A7IV
HR 6000,16 08 34.39,-39 05 35.2,STAR A0III
HR 3373,08 31 24.60,-39 03 51.1,STAR B4V
HR 3328,08 26 18.19,-39 03 37.1,STAR A2V
HR 3327,08 26 17.59,-39 03 33.8,STAR B9V
HR 4748,12 28 22.51,-39 02 29.0,STAR B8V
HR 6580,17 42 29.30,-39 01 48.0,STAR B1III
HR 7268,19 11 01.80,-39 00 18.0,STAR B7III
HR 6910,18 28 27.10,-38 59 44.2,STAR A2
HR 4648,12 13 25.30,-38 55 45.1,STAR B4IV
HR 288 ,01 01 18.31,-38 55 00.1,STAR K0III
HR 4714,12 23 44.90,-38 54 40.0,STAR B9V
HR 8790,23 06 53.59,-38 53 31.9,STAR A1V
HR 5419,14 31 10.80,-38 52 10.9,STAR K1III
HR 2995,07 43 07.01,-38 51 51.1,STAR G6III
HR 3084,07 52 38.69,-38 51 47.2,STAR B2V
HR 6921,18 29 16.80,-38 51 04.0,STAR B8
HR 3389,08 33 38.30,-38 50 56.0,STAR B5III
HR 6382,17 12 16.51,-38 49 19.9,STAR K1III
HR 2875,07 29 05.71,-38 48 43.9,STAR B5V
HR 5456,14 38 19.61,-38 47 39.1,STAR K3III
HR 5636,15 10 07.49,-38 47 33.0,STAR G8III
HR 2955,07 38 32.59,-38 46 52.0,STAR G8III
HR 5724,15 25 20.21,-38 44 01.0,STAR A0IV
HR 6953,18 33 23.11,-38 43 34.0,STAR B9V
HR 3535,08 52 48.00,-38 43 27.1,STAR M0III
HR 6952,18 33 23.30,-38 43 13.1,STAR A0III
HR 6862,18 22 18.60,-38 39 24.8,STAR K4III
HR 6546,17 36 32.81,-38 38 07.1,STAR K0III
HR 8048,21 02 58.01,-38 37 54.1,STAR F3V
HR 2407,06 33 10.30,-38 37 31.1,STAR G8III
HR 5751,15 32 04.39,-38 37 23.2,STAR A7V
HR 3667,09 13 25.90,-38 36 59.0,STAR A0V
HR 5967,16 03 24.19,-38 36 09.0,STAR B6IV
HR 554 ,01 53 23.21,-38 35 40.9,STAR K1II
HR 6398,17 15 35.90,-38 35 38.0,STAR F7V
HR 3682,09 15 36.70,-38 34 12.0,STAR K0III
HR 8299,21 44 29.50,-38 33 09.0,STAR G5III
HR 2981,07 41 15.79,-38 32 01.0,STAR B5V
HR 8046,21 02 27.19,-38 31 50.2,STAR K0IV
HR 2986,07 41 58.01,-38 31 44.0,STAR B7V
HR 2055,05 52 47.71,-38 31 32.9,STAR K1III
HR 6503,17 29 25.70,-38 31 00.1,STAR A2V
HR 1877,05 32 51.31,-38 30 47.2,STAR K2III
HR 3035,07 47 25.01,-38 30 40.0,STAR B2III
HR 185 ,00 42 42.91,-38 27 47.9,STAR A0V
HR 863 ,02 53 34.39,-38 26 12.8,STAR F6IV
HR 195 ,00 44 12.10,-38 25 18.1,STAR K1III
HR 535 ,01 49 48.79,-38 24 14.0,STAR F8V
HR 3766,09 29 16.30,-38 24 14.0,STAR A7V
HR 5092,13 32 05.30,-38 23 57.1,STAR K1III
HR 2482,06 42 16.39,-38 23 55.0,STAR A3V
HR 5948,16 00 07.30,-38 23 48.8,STAR B2IV
HR 8379,21 59 17.90,-38 23 43.1,STAR K0III
HR 805 ,02 42 06.60,-38 23 02.0,STAR G8III
HR 2685,07 06 02.30,-38 22 58.1,STAR G0II
HR 3388,08 33 19.90,-38 22 16.0,STAR B2V
HR 7021,18 43 46.90,-38 19 25.0,STAR A2V
HR 2769,07 16 31.80,-38 19 08.0,STAR B4V
HR 2961,07 39 27.41,-38 18 29.9,STAR B2V
HR 3716,09 20 29.59,-37 34 53.0,STAR K3III
HR 5508,14 47 05.11,-38 17 26.9,STAR K3III
HR 3296,08 23 17.21,-38 17 08.9,STAR M1III
HR 2964,07 39 47.81,-38 15 38.9,STAR B2V
HR 7197,19 03 17.71,-38 15 11.9,STAR F0III
HR 8671,22 47 47.11,-38 13 18.8,STAR F4IV
HR 5697,15 21 30.10,-38 13 09.1,STAR A0
HR 3001,07 43 42.89,-38 12 06.8,STAR B9V
HR 893 ,02 57 32.69,-38 11 28.0,STAR A0V
HR 5722,15 25 06.60,-38 10 09.8,STAR A2V
HR 2465,06 39 56.90,-38 09 32.0,STAR K1III
HR 6210,16 43 47.59,-38 09 24.1,STAR B9II
HR 6327,17 03 50.81,-38 09 07.9,STAR F4IV
HR 2444,06 37 01.90,-38 08 48.1,STAR K0III
HR 2963,07 39 43.80,-38 08 21.8,STAR B5V
HR 494 ,01 41 27.31,-38 07 59.2,STAR F2V
HR 6613,17 47 07.30,-38 06 42.1,STAR B9V
HR 7853,20 34 55.51,-38 05 22.9,STAR A8III
HR 6557,17 37 26.81,-38 03 56.2,STAR G2I
HR 5585,15 01 13.01,-38 03 29.9,STAR K2III
HR 7605,19 57 41.30,-38 03 29.9,STAR F4V
HR 6247,16 51 52.20,-38 02 51.0,STAR B1V
HR 6252,16 52 20.11,-38 01 03.0,STAR B2IV
HR 4372,11 17 11.81,-38 00 51.8,STAR A3V
HR 2945,07 37 45.19,-38 00 38.2,STAR K4III
HR 4086,10 23 29.30,-38 00 36.0,STAR A8V
HR 780 ,02 38 24.79,-37 59 26.2,STAR G0IV
HR 3017,07 45 15.31,-37 58 07.0,STAR K2I
HR 3011,07 44 34.20,-37 56 35.2,STAR B7V
HR 7652,20 03 33.50,-37 56 26.9,STAR K5III
HR 3022,07 46 10.39,-37 56 02.0,STAR B7V
HR 2518,06 47 21.41,-37 55 46.9,STAR B9IV
HR 3233,08 12 51.50,-37 55 27.8,STAR A3V
HR 5864,15 47 28.99,-37 54 59.0,STAR G6V
HR 3892,09 49 28.10,-37 11 11.0,STAR K1III
HR 7971,20 51 00.70,-37 54 47.9,STAR K3II
HR 7254,19 09 28.30,-37 54 15.8,STAR A2V
HR 2353,06 27 07.49,-37 53 44.2,STAR F3V
HR 3016,07 45 04.61,-37 53 16.1,STAR B3IV
HR 5367,14 20 33.41,-37 53 07.1,STAR A0IV
HR 5579,14 59 13.90,-37 52 53.0,STAR B8V
HR 4631,12 10 33.79,-37 52 13.1,STAR A5V
HR 5975,16 04 36.70,-37 51 47.2,STAR F3IV
HR 359 ,01 12 45.41,-37 51 23.0,STAR F0III
HR 8200,21 26 22.90,-37 49 45.8,STAR K2III
HR 8937,23 32 58.30,-37 49 05.9,STAR B9IV
HR 2869,07 28 22.80,-37 48 37.1,STAR A1IV
HR 7232,19 06 52.51,-37 48 37.1,STAR G5IV
HR 6450,17 22 39.41,-37 48 18.0,STAR B4I
HR 5543,14 52 51.10,-37 48 11.9,STAR B7III
HR 4979,13 12 03.19,-37 48 11.2,STAR G3V
HR 5471,14 41 57.60,-37 47 37.0,STAR B3V
HR 2510,06 46 12.10,-37 46 32.2,STAR B4V
HR 3735,09 23 44.81,-37 45 25.9,STAR A1
HR 4557,11 54 25.80,-37 44 56.0,STAR F7V
HR 4411,11 25 33.10,-37 44 52.1,STAR M3III
HR 8367,21 57 02.21,-37 44 48.8,STAR F1III
HR 2263,06 17 01.20,-37 44 15.0,STAR K1III
HR 7629,20 00 15.91,-37 42 07.9,STAR G8III
HR 2399,06 32 21.31,-37 41 48.1,STAR G8III
HR 3195,08 08 37.61,-37 40 53.0,STAR B4V
HR 2053,05 52 33.19,-37 37 52.0,STAR K1III
HR 1189,03 48 35.40,-37 37 19.9,STAR A1V
HR 6298,16 58 52.39,-37 37 16.0,STAR A3V
HR 1190,03 48 35.90,-37 37 14.2,STAR B9V
HR 3399,08 34 29.30,-37 36 41.0,STAR K5III
HR 3677,09 14 57.19,-37 36 09.0,STAR G0V
HR 7273,19 12 09.79,-37 34 58.1,STAR G2III
HR 2968,07 39 58.01,-37 34 45.8,STAR B6IV
HR 700 ,02 23 06.50,-37 34 35.0,STAR K2III
HR 6100,16 24 31.70,-37 33 56.9,STAR B8IV
HR 7491,19 43 37.61,-37 32 20.0,STAR B8
HR 6244,16 50 59.81,-37 30 51.8,STAR B9
HR 5935,15 58 30.70,-37 30 11.2,STAR K0III
HR 6856,18 20 55.30,-37 29 15.0,STAR K2II
HR 6539,17 35 43.01,-37 26 24.0,STAR A0V
HR 5837,15 42 38.30,-37 25 30.0,STAR G8III
HR 3684,09 15 45.10,-37 24 47.9,STAR F5III
HR 7808,20 26 52.99,-37 24 11.2,STAR K2IV
HR 1699,05 11 35.90,-37 23 43.1,STAR K5III
HR 3267,08 18 12.60,-37 22 27.1,STAR A0IV
HR 8353,21 53 55.70,-37 21 54.0,STAR B8III
HR 7129,18 56 40.51,-37 20 35.9,STAR B8IV
HR 2882,07 30 42.41,-37 20 22.9,STAR G4V
HR 1797,05 23 39.00,-37 20 12.1,STAR K1III
HR 3984,10 08 01.70,-37 20 01.0,STAR K0III
HR 1143,03 42 50.11,-37 18 49.0,STAR K2III
HR 6508,17 30 45.79,-37 17 44.9,STAR B2IV
HR 3219,08 11 01.61,-37 17 31.9,STAR O9II
HR 2843,07 24 47.30,-37 17 26.9,STAR F0V
HR 2842,07 24 47.21,-37 17 24.0,STAR F0V
HR 3154,08 01 37.39,-37 17 01.0,STAR A3IV
HR 8366,21 56 22.80,-37 15 13.0,STAR A2V
HR 2177,06 07 31.61,-37 15 11.2,STAR B9IV
HR 2265,06 17 09.50,-37 15 11.2,STAR A3V
HR 4470,11 36 40.80,-37 14 16.1,STAR A1V
HR 1835,05 28 15.31,-37 13 50.2,STAR A1V
HR 6344,17 06 20.30,-37 13 39.0,STAR A2IV
HR 6456,17 22 54.91,-37 13 14.2,STAR K1III
HR 6178,16 39 05.21,-37 13 03.0,STAR B9V
HR 4508,11 43 27.19,-37 11 25.1,STAR K3III
HR 6122,16 28 14.69,-37 10 45.8,STAR K1III
HR 528 ,01 47 47.81,-37 09 34.9,STAR K0III
HR 3479,08 44 51.89,-37 08 49.9,STAR B2III
HR 1503,04 42 03.50,-37 08 39.8,STAR F1V
HR 4273,10 56 43.10,-37 08 16.1,STAR K1III
HR 2087,05 55 29.90,-37 07 14.9,STAR K1III
HR 7152,18 58 43.39,-37 06 27.0,STAR F2V
HR 6527,17 33 36.50,-37 06 14.0,STAR B2IV
HR 2773,07 17 08.59,-37 05 51.0,STAR K3I
HR 5689,15 19 31.61,-37 05 48.1,STAR G6III
HR 7226,19 06 25.10,-37 03 47.9,STAR F8V
HR 7227,19 06 25.10,-37 03 47.9,STAR F8V
HR 7170,19 01 04.30,-37 03 42.8,STAR B8V
HR 7169,19 01 03.19,-37 03 38.9,STAR B9V
HR 3155,08 02 06.19,-37 03 02.2,STAR M1III
HR 6630,17 49 51.50,-37 02 35.9,STAR K2III
HR 5357,14 19 23.90,-37 00 13.0,STAR A2V
HR 2446,06 37 13.80,-36 59 26.2,STAR B7IV
HR 6583,17 42 51.00,-36 56 44.9,STAR K5III
HR 2393,06 31 34.99,-36 56 24.0,STAR M1III
HR 445 ,01 32 55.99,-36 51 55.1,STAR K0III
HR 5712,15 23 09.41,-36 51 31.0,STAR B4V
HR 6691,17 58 55.61,-36 51 29.9,STAR G8III
HR 498 ,01 42 03.00,-36 49 57.0,STAR A1V
HR 4053,10 18 37.80,-36 48 16.9,STAR K2III
HR 5987,16 06 35.50,-36 48 07.9,STAR B2V
HR 2424,06 35 24.10,-36 46 48.0,STAR A0V
HR 6501,17 28 56.11,-36 46 41.9,STAR K0III
HR 5736,15 27 18.19,-36 46 04.1,STAR B4V
HR 6832,18 17 37.61,-36 45 42.1,STAR M3III
HR 5991,16 07 16.39,-36 45 20.2,STAR F1IV
HR 2790,07 18 38.21,-36 44 34.1,STAR B2IV
HR 2787,07 18 18.41,-36 44 03.1,STAR B2V
HR 3364,08 30 29.59,-36 43 16.0,STAR M2I
HR 7026,18 44 07.70,-36 43 07.0,STAR K0III
HR 5028,13 20 35.81,-36 42 43.9,STAR A2V
HR 2316,06 24 01.01,-36 42 28.1,STAR G6III
HR 6772,18 09 22.39,-36 40 21.0,STAR B1II
HR 6870,18 22 53.11,-36 40 09.8,STAR A0
HR 3270,08 18 33.29,-36 39 33.8,STAR A7III
HR 5519,14 48 38.11,-36 38 04.9,STAR M3III
HR 3434,08 39 22.10,-36 36 24.8,STAR F1IV
HR 2770,07 16 49.51,-36 35 34.1,STAR B2IV
HR 3534,08 52 38.59,-36 32 44.2,STAR G8III
HR 2726,07 12 25.70,-36 32 39.8,STAR B3V
HR 4376,11 17 43.01,-36 32 03.8,STAR G8III
HR 471 ,01 38 27.41,-36 31 41.9,STAR K0IV
HR 4029,10 15 20.90,-36 31 05.2,STAR K0III
HR 2954,07 38 43.90,-36 29 48.8,STAR B2IV
HR 3283,08 21 21.00,-36 29 03.8,STAR B2IV
HR 6671,17 55 07.90,-36 28 32.9,STAR B9III
HR 7728,20 16 23.71,-36 27 15.8,STAR M4III
HR 5208,13 51 36.60,-36 25 59.9,STAR F6IV
HR 742 ,02 32 14.81,-36 25 39.0,STAR G8III
HR 1200,03 50 37.61,-36 25 31.1,STAR B9V
HR 8108,21 13 18.89,-36 25 26.0,STAR K0III
HR 8760,23 02 34.01,-36 25 14.9,STAR K1III
HR 8713,22 55 14.90,-36 23 19.0,STAR K2III
HR 3972,10 05 15.19,-36 23 02.0,STAR K1III
HR 6708,18 01 48.31,-36 22 40.1,STAR B7IV
HR 4999,13 15 09.70,-36 22 16.0,STAR K1III
HR 5288,14 06 40.99,-36 22 12.0,STAR K0III
HR 3085,07 53 03.50,-36 21 50.0,STAR K0III
HR 4838,12 43 58.70,-36 20 57.1,STAR A0V
HR 3241,08 13 58.80,-36 20 28.0,STAR B2IV
HR 2911,07 33 51.00,-36 20 17.9,STAR B3V
HR 3240,08 13 58.39,-36 19 21.0,STAR B1IV
HR 3897,09 49 51.29,-36 16 07.0,STAR K0III
HR 5615,15 06 13.90,-36 15 51.1,STAR K5III
HR 5705,15 21 48.41,-36 15 41.0,STAR K5III
HR 5174,13 46 56.40,-36 15 06.8,STAR A0V
HR 6874,18 23 28.90,-36 14 17.9,STAR K0III
HR 2411,06 33 49.51,-36 13 55.9,STAR K3III
HR 2558,06 51 42.29,-36 13 49.1,STAR A3V
HR 8124,21 15 46.80,-36 12 38.9,STAR K3III
HR 1195,03 49 27.31,-36 12 01.1,STAR G9II
HR 5929,15 57 21.29,-36 11 06.0,STAR K0III
HR 4396,11 23 12.70,-36 09 52.9,STAR K6III
HR 7256,19 09 36.41,-36 09 52.9,STAR A0IV
HR 2885,07 31 25.80,-36 09 10.1,STAR B4V
HR 5466,14 41 01.39,-36 08 06.0,STAR A0
HR 8031,20 59 59.69,-36 07 46.9,STAR F5V
HR 7935,20 46 18.60,-36 07 13.1,STAR F3IV
HR 1186,03 47 49.61,-36 06 20.9,STAR B8V
HR 7703,20 11 11.90,-36 06 04.0,STAR K3V
HR 3835,09 37 28.30,-36 05 44.9,STAR K2III
HR 4675,12 17 47.30,-36 05 38.0,STAR A0V
HR 5653,15 13 07.39,-36 05 29.0,STAR B8V
HR 2431,06 35 54.00,-36 05 20.0,STAR G0V
HR 4409,11 25 29.40,-36 03 47.2,STAR K0III
HR 3007,07 44 09.60,-36 03 46.1,STAR F2V
HR 2994,07 43 12.00,-36 03 01.1,STAR B5V
HR 6748,18 06 23.71,-36 01 10.9,STAR G5V
HR 6889,18 25 21.70,-35 59 30.1,STAR K0III
HR 1721,05 14 28.80,-35 58 37.9,STAR G8III
HR 2895,07 32 22.30,-35 57 41.0,STAR B9V
HR 3765,09 29 14.69,-35 57 05.0,STAR K3III
HR 970 ,03 13 01.49,-35 56 38.0,STAR B8V
HR 3463,08 42 57.00,-35 56 35.9,STAR A0V
HR 6311,17 00 36.89,-35 56 03.1,STAR K2III
HR 1042,03 25 55.80,-35 55 14.9,STAR A1IV
HR 6454,17 22 37.99,-35 54 36.0,STAR F7V
HR 4524,11 47 07.01,-35 54 24.8,STAR G8III
HR 3253,08 15 58.90,-35 54 10.1,STAR K2III
HR 6739,18 04 50.40,-35 54 05.0,STAR K2III
HR 3237,08 13 29.59,-35 53 58.9,STAR B1III
HR 3947,09 58 52.30,-35 53 28.0,STAR F1III
HR 2889,07 31 42.79,-35 53 16.1,STAR A0V
HR 3091,07 54 10.99,-35 52 39.0,STAR B2V
HR 4947,13 06 54.31,-35 51 42.8,STAR A0IV
HR 3992,10 09 31.80,-35 51 24.1,STAR F8V
HR 1058,03 28 11.50,-35 51 11.9,STAR A1V
HR 848 ,02 50 14.81,-35 50 37.0,STAR K0III
HR 2829,07 23 58.30,-35 50 16.1,STAR B7III
HR 1715,05 13 46.49,-35 49 32.2,STAR K4III
HR 3823,09 35 11.81,-35 49 26.0,STAR F7III
HR 4313,11 04 54.19,-35 48 16.9,STAR A2V
HR 2040,05 50 57.60,-35 46 05.9,STAR K2III
HR 6405,17 16 21.50,-35 44 57.8,STAR G0IV
HR 4183,10 40 51.60,-35 44 30.1,STAR G8III
HR 1680,05 08 14.81,-35 43 05.9,STAR K1III
HR 3790,09 31 32.90,-35 42 54.0,STAR K4III
HR 1653,05 04 26.09,-35 42 19.1,STAR F1III
HR 5189,13 48 55.10,-35 42 14.0,STAR G3IV
HR 4612,12 05 56.71,-35 41 38.0,STAR B8V
HR 1054,03 27 33.41,-35 40 53.0,STAR K2III
HR 851 ,02 50 40.39,-35 40 34.0,STAR K5III
HR 2009,05 47 18.60,-35 40 28.9,STAR K1III
HR 7765,20 20 51.89,-35 40 25.0,STAR K3III
HR 5222,13 53 32.81,-35 39 51.1,STAR F4V
HR 323 ,01 06 26.50,-35 39 38.9,STAR A1V
HR 1439,04 30 40.30,-35 39 13.0,STAR K0II
HR 7029,18 44 19.39,-35 38 30.8,STAR B2V
HR 6653,17 52 57.89,-35 37 27.1,STAR F2III
HR 7817,20 28 46.70,-35 35 44.9,STAR B8II
HR 835 ,02 47 33.70,-35 33 02.9,STAR K0III
HR 1386,04 23 07.70,-35 32 42.0,STAR K1III
HR 8914,23 28 00.70,-35 32 39.8,STAR K2III
HR 8732,22 58 34.99,-35 31 23.2,STAR F8III
HR 2160,06 05 27.10,-35 30 49.0,STAR A1V
HR 2612,06 57 17.59,-35 30 27.0,STAR F8IV
HR 3867,09 42 41.40,-35 30 06.1,STAR A0
HR 3242,08 14 13.20,-35 29 26.2,STAR K1III
HR 1652,05 04 24.41,-35 28 59.9,STAR K3III
HR 1862,05 31 12.70,-35 28 14.2,STAR K1III
HR 3199,08 09 10.20,-35 27 18.0,STAR G8III
HR 3266,08 18 17.40,-35 27 06.1,STAR K2III
HR 6347,17 06 28.39,-35 27 04.0,STAR O9I
HR 7316,19 19 40.01,-35 25 17.0,STAR B3V
HR 4712,12 23 35.40,-35 24 46.1,STAR B9III
HR 2604,06 56 45.70,-35 20 30.1,STAR K2III
HR 4420,11 27 58.49,-35 19 43.0,STAR K5III
HR 5224,13 53 52.20,-35 18 51.8,STAR K1IV
HR 3438,08 40 06.19,-35 18 29.9,STAR G7I
HR 2106,05 57 32.21,-35 16 59.9,STAR B2IV
HR 2942,07 37 44.81,-35 16 37.9,STAR K1III
HR 7623,19 59 44.21,-35 16 35.0,STAR B3IV
HR 1299,04 10 45.79,-35 16 26.0,STAR K1III
HR 2388,06 31 13.01,-35 15 33.1,STAR G8III
HR 6166,16 36 22.51,-35 15 20.2,STAR K6III
HR 3049,07 49 14.69,-35 14 35.9,STAR B9V
HR 7729,20 16 26.50,-35 11 52.1,STAR F2V
HR 5489,14 44 59.21,-35 11 30.8,STAR A0V
HR 4724,12 25 21.79,-35 11 11.0,STAR B9III
HR 5485,14 43 39.41,-35 10 25.0,STAR K3III
HR 2256,06 16 33.10,-35 08 26.2,STAR K0III
HR 1881,05 33 07.39,-35 08 22.9,STAR K0III
HR 35  ,00 11 43.99,-35 07 59.2,STAR F4V
HR 3343,08 27 59.30,-35 06 50.0,STAR B3V
HR 4553,11 53 26.81,-35 04 00.1,STAR A2V
HR 2329,06 25 29.90,-35 03 50.0,STAR K3III
HR 6652,17 52 55.90,-35 01 07.0,STAR B9V
HR 3756,09 27 38.40,-35 00 28.1,STAR A3
HR 6426,17 18 57.19,-34 59 22.9,STAR K3V
HR 7330,19 21 29.90,-34 59 02.0,STAR G5V
HR 2937,07 37 22.10,-34 58 07.0,STAR B8IV
HR 1730,05 15 46.99,-34 55 36.1,STAR A2III
HR 1559,04 51 28.20,-34 54 23.0,STAR A1V
HR 54  ,00 14 58.20,-34 54 15.8,STAR K3III
HR 1743,05 17 29.09,-34 53 43.1,STAR K0IV
HR 6658,17 53 23.30,-34 53 43.1,STAR K3III
HR 3092,07 54 39.91,-34 50 48.8,STAR K4III
HR 6663,17 53 58.10,-34 49 54.1,STAR A0
HR 6647,17 52 13.61,-34 47 57.1,STAR B6V
HR 5376,14 22 19.70,-34 47 12.8,STAR B8V
HR 6660,17 53 45.50,-34 47 08.9,STAR B9V
HR 2677,07 05 31.99,-34 46 40.1,STAR F2V
HR 1398,04 24 56.40,-34 45 28.1,STAR F2III
HR 6662,17 53 54.91,-34 45 09.0,STAR B9V
HR 8767,23 03 29.81,-34 44 57.8,STAR F0V
HR 7070,18 49 17.21,-34 44 55.0,STAR K1IV
HR 4494,11 40 12.79,-34 44 40.9,STAR B9V
HR 4373,11 17 39.19,-34 44 13.9,STAR F4V
HR 1214,03 53 38.90,-34 43 55.9,STAR B6V
HR 6657,17 53 19.61,-34 43 50.2,STAR B8V
HR 5839,15 42 40.99,-34 42 38.2,STAR B5V
HR 3079,07 52 15.70,-34 42 19.1,STAR F5V
HR 4628,12 10 02.50,-34 42 18.0,STAR A0V
HR 6143,16 31 22.90,-34 42 15.8,STAR B2III
HR 1766,05 20 20.59,-34 41 56.0,STAR F2IV
