,name   ,alt_name ,ra         ,dec        ,vmag ,multiple,class                                              ,
,HR 6731,         ,18 11 15.70,-75 53 29.0, 5.86,W       ,                                         STAR K2III,
,HR 8420,         ,22 10 42.50,-75 52 50.2, 6.55,        ,                                         STAR K2III,
,HR 5115,         ,13 39 11.90,-75 41 02.0, 6.34,        ,                                          STAR B8IV,
,HR 4804,         ,12 39 14.50,-75 22 09.8, 6.49,W       ,                                           STAR B8V,
,HR 4617,         ,12 07 49.80,-75 22 00.8, 5.18,        ,                                          STAR K2II,
,HR 7864,Mu 2Oct  ,20 41 43.70,-75 21 02.2, 6.55,W       ,                                         STAR G5III,
,HR 8111,         ,21 18 16.10,-75 20 48.1, 6.63,        ,                                           STAR A1V,
,HR 4387,         ,11 19 36.29,-75 08 33.0, 6.27,        ,                                           STAR B9V,
,HR 4279,         ,10 57 15.70,-75 05 58.9, 6.13,        ,                                          STAR K1II,
,HR 872 ,Nu  Hyi  ,02 50 28.51,-75 04 00.8, 4.75,        ,                                         STAR K3III,
,HR 6829,Phi Oct  ,18 23 36.10,-75 02 39.1, 5.47,        ,                                           STAR A0V,
,HR 5555,         ,14 59 55.99,-75 01 57.0, 6.20,W       ,                                           STAR B9V,
,HR 8526,         ,22 25 51.00,-75 00 56.2, 6.04,W       ,                                           STAR G3V,
,HR 1629,Eta Men  ,04 55 11.21,-74 56 12.8, 5.47,        ,                                         STAR K4III,
,HR 236 ,Lam Hyi  ,00 48 35.40,-74 55 23.9, 5.07,        ,                                         STAR K5III,
,HR 3720,         ,09 17 25.39,-74 53 39.8, 5.29,W       ,                                           STAR A1V,
,HR 5042,Iot1Mus  ,13 25 07.10,-74 53 16.1, 5.05,        ,                                         STAR K0III,
,HR 5279,         ,14 08 27.10,-74 51 01.1, 6.02,        ,                                          STAR G2IV,
,HR 2261,Alp Men  ,06 10 14.40,-74 45 11.2, 5.09,        ,                                           STAR G6V,
,HR 3721,         ,09 17 27.41,-74 44 04.9, 5.86,        ,                                           STAR A0V,
,HR 5051,Iot2Mus  ,13 27 18.29,-74 41 30.8, 6.63,        ,                                           STAR B9V,
,HR 6373,         ,17 16 35.59,-74 31 59.2, 6.25,        ,                                           STAR A0V,
,HR 4186,         ,10 39 16.61,-74 29 37.0, 6.07,        ,                                          STAR K3II,
,HR 2979,         ,07 35 21.70,-74 16 32.2, 7.16,W       ,                                          STAR B9IV,
,HR 2980,         ,07 35 21.79,-74 16 32.2, 7.26,W       ,                                          STAR B9IV,
,HR 1208,Gam Hyi  ,03 47 14.30,-74 14 20.0, 3.24,        ,                                         STAR M2III,
,HR 4601,         ,12 03 44.30,-74 12 50.0, 6.44,        ,                                         STAR G6III,
,HR 4102,         ,10 24 23.71,-74 01 54.1, 4.00,        ,                                          STAR F2IV,
,HR 4105,         ,10 24 44.30,-73 58 18.1, 6.19,        ,                                           STAR A2V,
,HR 6899,         ,18 32 55.30,-73 57 56.2, 5.89,        ,                                         STAR K0III,
,HR 1964,         ,05 34 44.69,-73 44 29.0, 5.78,        ,                                         STAR M3III,
,HR 6751,         ,18 12 34.49,-73 40 18.1, 5.85,W       ,                                           STAR F5V,
,HR 715 ,Kap Hyi  ,02 22 52.30,-73 38 44.9, 5.01,        ,                                         STAR K1III,
,HR 8794,         ,23 08 35.69,-73 35 11.0, 6.15,        ,                                         STAR K3III,
,HR 5782,Kap2Aps  ,15 40 21.19,-73 26 48.1, 5.65,W       ,                                         STAR B7III,
,HR 3334,Eta Vol  ,08 22 04.39,-73 24 00.0, 5.29,W       ,                                          STAR A0IV,
,HR 5730,Kap1Aps  ,15 31 30.79,-73 23 21.8, 5.49,W       ,                                          STAR B3IV,
,HR 3417,         ,08 32 42.19,-73 21 24.1, 6.12,        ,                                         STAR G8III,
,HR 3171,         ,07 59 16.10,-73 14 40.9, 6.34,        ,                                         STAR A3III,
,HR 32  ,         ,00 10 38.59,-73 13 27.8, 6.64,W       ,                                           STAR F2V,
,HR 4142,         ,10 31 01.99,-73 13 18.1, 4.93,W       ,                                         STAR K4III,
,HR 5520,         ,14 53 13.70,-73 11 24.0, 5.60,W       ,                                         STAR G7III,
,HR 8061,         ,21 09 22.30,-73 10 23.2, 5.68,W       ,                                           STAR F8V,
,HR 169 ,         ,00 38 40.80,-73 08 13.9, 6.85,        ,                                            STAR A1,
,HR 2531,         ,06 43 36.79,-73 07 05.2, 6.37,        ,                                         STAR G8III,
,HR 3821,         ,09 31 36.29,-73 04 50.9, 5.47,        ,                                         STAR K4III,
,HR 1700,         ,05 06 09.29,-73 02 16.1, 6.27,        ,                                           STAR A1V,
,HR 4769,         ,12 32 10.01,-73 00 06.1, 5.88,        ,                                         STAR K1III,
,HR 7027,         ,18 49 43.49,-72 59 40.9, 6.06,W       ,                                          STAR B9IV,
,HR 7590,Eps Pav  ,20 00 35.50,-72 54 38.2, 3.96,        ,                                           STAR A0V,
,HR 9106,         ,00 04 30.70,-72 53 52.1, 7.31,        ,                                           STAR F2V,
,HR 5628,         ,15 12 33.79,-72 46 13.1, 6.01,        ,                                         STAR B8III,
,HR 2062,Lam Men  ,05 47 48.10,-72 42 07.9, 6.53,        ,                                         STAR K0III,
,HR 4664,         ,12 16 23.50,-72 36 52.9, 6.22,        ,                                           STAR A0V,
,HR 3024,Zet Vol  ,07 41 49.20,-72 36 22.0, 3.95,W       ,                                         STAR K0III,
,HR 3643,         ,09 05 08.81,-72 36 10.1, 4.48,        ,                                          STAR F9II,
,HR 3544,         ,08 49 50.30,-72 33 02.9, 6.11,        ,                                            STAR A0,
,HR 8081,         ,21 11 20.69,-72 32 39.1, 6.20,        ,                                         STAR K1III,
,HR 7498,         ,19 49 25.30,-72 30 11.9, 5.41,        ,                                         STAR A4III,
,HR 4425,         ,11 28 18.19,-72 28 27.8, 6.09,W       ,                                           STAR B3V,
,HR 4213,         ,10 44 26.50,-72 26 38.0, 6.27,        ,                                           STAR F6V,
,HR 1606,         ,04 53 05.50,-72 24 27.0, 6.28,        ,                                           STAR F6V,
,HR 5955,         ,16 05 55.80,-72 24 02.9, 5.70,        ,                                         STAR K1III,
,HR 4406,         ,11 24 11.09,-72 15 24.1, 5.59,        ,                                          STAR B2IV,
,HR 8515,Nu  Ind  ,22 24 36.79,-72 15 20.2, 5.29,W       ,                                           STAR A3V,
,HR 6565,         ,17 44 19.70,-72 13 14.9, 6.49,W       ,                                          STAR F7IV,
,HR 4907,         ,12 56 31.51,-72 11 07.1, 5.93,        ,                                         STAR G8III,
,HR 5030,         ,13 22 52.61,-72 08 48.1, 6.05,W       ,                                           STAR B6V,
,HR 4773,Gam Mus  ,12 32 28.01,-72 07 59.2, 3.87,        ,                                           STAR B5V,
,HR 95  ,47    Tuc,00 24 05.80,-72 04 52.0,     ,        ,GLOBULAR CLUSTER EXTENDED GALACTIC OR EXTRAGALACTIC,
,HR 5012,         ,13 19 18.91,-72 02 08.2, 6.04,        ,                                         STAR K3III,
,HR 4389,         ,11 20 03.91,-71 59 39.8, 6.41,        ,                                           STAR B4V,
,HR 4138,         ,10 30 20.11,-71 59 35.2, 4.74,        ,                                           STAR A1V,
,HR 4862,         ,12 49 44.90,-71 59 11.0, 5.55,        ,                                           STAR G8I,
,HR 5598,         ,15 07 08.71,-71 54 19.1, 6.52,        ,                                         STAR K4III,
,HR 939 ,The Hyi  ,03 02 15.41,-71 54 09.0, 5.53,W       ,                                           STAR B3V,
,HR 8159,         ,21 25 18.10,-71 47 57.8, 6.09,W       ,                                         STAR K2III,
,HR 2505,         ,06 40 57.79,-71 46 32.2, 6.51,W       ,                                         STAR K1III,
,HR 2283,         ,06 15 05.90,-71 42 10.1, 6.64,        ,                                           STAR F8V,
,HR 3777,         ,09 27 06.41,-71 36 07.9, 5.47,        ,                                         STAR K2III,
,HR 4923,Del Mus  ,13 02 16.20,-71 32 56.0, 3.62,        ,                                         STAR K2III,
,HR 3301,Kap1Vol  ,08 19 49.01,-71 30 54.0, 5.37,W       ,                                         STAR B9III,
