,name   ,alt_name ,ra         ,dec        ,vmag ,multiple,class                                              ,
,HR 5312,50    Hya,14 12 46.01,-27 15 40.0, 5.08,        ,                                         STAR K3III,
,HR 7931,         ,20 45 13.20,-27 14 49.9, 6.50,        ,                                         STAR G8III,
,HR 7604,59    Sgr,19 56 56.81,-27 10 12.0, 4.52,        ,                                          STAR K2II,
,HR 2614,         ,06 58 07.61,-27 09 52.9, 6.37,W       ,                                         STAR B2III,
,HR 2200,         ,06 10 34.61,-27 09 15.1, 5.72,        ,                                         STAR K1III,
,HR 4803,         ,12 37 42.19,-27 08 20.0, 5.45,        ,                                          STAR F1IV,
,HR 8563,         ,22 29 46.01,-27 06 25.9, 5.95,        ,                                           STAR F1V,
,HR 8628,18Eps PsA,22 40 39.41,-27 02 37.0, 4.17,        ,                                           STAR B8V,
,HR 6842,         ,18 18 03.19,-27 02 33.0, 4.65,        ,                                          STAR K3II,
,HR 9044,         ,23 54 21.41,-27 02 31.9, 6.35,        ,                                           STAR A2V,
,HR 2750,         ,07 14 51.10,-27 02 17.2, 5.58,        ,                                         STAR K4III,
,HR 7722,         ,20 15 17.40,-27 01 58.1, 5.73,        ,                                           STAR K0V,
,HR 4011,         ,10 13 19.39,-27 01 44.0, 6.25,        ,                                            STAR A9,
,HR 7039,27Phi Sgr,18 45 39.41,-26 59 26.9, 3.17,D       ,                                         STAR B8III,
,HR 8883,         ,23 21 15.50,-26 59 12.1, 5.64,        ,                                           STAR G4V,
,HR 7398,         ,19 29 52.20,-26 59 08.2, 5.52,        ,                                         STAR K3III,
,HR 6621,         ,17 48 27.79,-26 58 30.0, 6.35,        ,                                          STAR B4IV,
,HR 2800,         ,07 20 55.01,-26 57 49.0, 6.01,        ,                                           STAR B2V,
,HR 2567,         ,06 53 00.10,-26 57 27.0, 6.40,        ,                                         STAR M4III,
,HR 1723,         ,05 15 24.29,-26 56 35.9, 5.07,        ,                                           STAR B9V,
,HR 7980,18Ome Cap,20 51 49.30,-26 55 09.1, 4.11,        ,                                         STAR M0III,
,HR 8045,         ,21 01 45.31,-26 52 52.0, 6.05,        ,                                           STAR A7V,
,HR 2956,         ,07 39 26.90,-26 51 47.2, 6.50,        ,                                           STAR B7V,
,HR 5399,         ,14 25 47.69,-26 51 09.0, 6.48,        ,                                          STAR G7IV,
,HR 3402,         ,08 35 28.80,-26 50 37.0, 5.96,        ,                                           STAR A1V,
,HR 4302,         ,11 02 24.41,-26 49 53.0, 6.23,        ,                                           STAR F1V,
,HR 8408,         ,22 04 36.79,-26 49 21.0, 5.96,        ,                                          STAR B4IV,
,HR 2949,         ,07 38 49.80,-26 48 13.0, 4.62,        ,                                          STAR B5IV,
,HR 2948,         ,07 38 49.30,-26 48 06.1, 4.50,        ,                                           STAR B6V,
,HR 2774,         ,07 17 47.90,-26 47 51.0, 6.46,        ,                                          STAR B2IV,
,HR 2749,28Ome CMa,07 14 48.70,-26 46 22.1, 3.85,        ,                                          STAR B2IV,
,HR 3637,         ,09 08 43.49,-26 46 04.1, 6.15,        ,                                          STAR A4IV,
,HR 6914,         ,18 28 06.19,-26 45 25.9, 6.27,        ,                                           STAR A3V,
,HR 4532,         ,11 48 45.10,-26 44 58.9, 5.11,        ,                                         STAR M4III,
,HR 4445,         ,11 32 23.30,-26 44 48.1, 6.16,        ,                                         STAR M1III,
,HR 4881,         ,12 51 57.91,-26 44 17.2, 6.15,        ,                                         STAR A0III,
,HR 1785,         ,05 23 12.00,-26 42 20.9, 6.49,        ,                                           STAR F6V,
,HR 2192,         ,06 09 47.21,-26 42 02.9, 6.27,        ,                                         STAR G8III,
,HR 5287,49Pi  Hya,14 06 22.30,-26 40 57.0, 3.27,        ,                                         STAR K2III,
,HR 4157,         ,10 36 04.61,-26 40 30.0, 6.29,        ,                                           STAR F5V,
,HR 3597,         ,09 01 11.40,-26 39 50.0, 6.20,        ,                                         STAR K1III,
,HR 2688,         ,07 07 00.10,-26 39 28.1, 6.62,        ,                                          STAR B2IV,
,HR 7103,         ,18 52 28.49,-26 39 01.1, 6.29,        ,                                         STAR G8III,
,HR 5517,57    Hya,14 47 57.50,-26 38 47.0, 5.77,        ,                                           STAR B9V,
,HR 7902,         ,20 40 36.00,-26 38 42.0, 6.51,        ,                                           STAR F7V,
,HR 6909,         ,18 27 43.80,-26 38 04.9, 6.31,        ,                                           STAR A8V,
,HR 9058,         ,23 57 08.30,-26 37 25.0, 6.26,        ,                                         STAR K3III,
,HR 5314,         ,14 13 13.20,-26 36 43.9, 6.24,        ,                                         STAR K0III,
,HR 1013,         ,03 20 45.19,-26 36 23.0, 6.39,        ,                                           STAR F7V,
,HR 6401,36    Oph,17 15 21.00,-26 36 10.1, 5.11,        ,                                           STAR K1V,
,HR 6402,36    Oph,17 15 20.81,-26 36 05.0, 5.07,        ,                                           STAR K0V,
,HR 3770,         ,09 29 54.50,-26 35 22.9, 5.48,        ,                                         STAR K3III,
,HR 2786,         ,07 18 51.19,-26 35 08.9, 5.28,        ,                                           STAR G2I,
,HR 6926,         ,18 28 57.41,-26 34 54.1, 6.50,W       ,                                         STAR A3III,
,HR 4978,         ,13 11 39.19,-26 33 06.1, 6.50,W       ,                                           STAR A5V,
,HR 3931,         ,09 56 46.51,-26 33 01.1, 6.28,        ,                                           STAR A4V,
,HR 6145,         ,16 31 22.80,-26 32 16.1, 6.10,        ,                                         STAR K1III,
,HR 6354,         ,17 06 53.21,-26 30 47.2, 6.29,        ,                                         STAR A0III,
,HR 5120,         ,13 36 48.41,-26 29 42.0, 5.78,        ,                                         STAR A7III,
,HR 4125,         ,10 30 51.41,-26 29 02.0, 6.51,        ,                                         STAR F7III,
,HR 2206,         ,06 11 13.51,-26 28 55.9, 6.09,        ,                                           STAR A0V,
,HR 4912,         ,12 56 30.10,-26 27 37.1, 6.62,        ,                                           STAR F3I,
,HR 6134,21Alp Sco,16 29 24.41,-26 25 54.8, 0.96,        ,                                           STAR M1I,
,HR 2693,25Del CMa,07 08 23.50,-26 23 35.9, 1.84,        ,                                           STAR F8I,
,HR 8148,         ,21 19 45.79,-26 21 11.2, 6.56,        ,                                           STAR G5V,
,HR 2745,27    CMa,07 14 15.19,-26 21 09.0, 4.66,W       ,                                         STAR B3III,
,HR 2988,         ,07 42 48.10,-26 21 04.0, 5.64,        ,                                         STAR K1III,
,HR 3291,         ,08 22 49.90,-26 20 53.2, 5.90,        ,                                           STAR F3I,
,HR 5641,         ,15 10 18.60,-26 19 58.1, 5.76,        ,                                         STAR K0III,
,HR 8464,         ,22 12 57.50,-26 19 40.1, 6.17,        ,                                           STAR A3V,
,HR 6001,         ,16 08 07.61,-26 19 36.1, 5.38,        ,                                         STAR M2III,
,HR 7597,58Ome Sgr,19 55 50.40,-26 17 57.8, 4.70,        ,                                           STAR G5V,
,HR 7121,34Sig Sgr,18 55 15.91,-26 17 48.1, 2.02,W       ,                                           STAR B2V,
,HR 8013,         ,20 56 47.30,-26 17 47.0, 5.70,        ,                                           STAR F7V,
,HR 43  ,         ,00 13 44.21,-26 17 04.9, 6.31,        ,                                         STAR K5III,
,HR 2140,         ,06 03 15.50,-26 17 03.8, 5.04,        ,                                         STAR K3III,
,HR 5801,         ,15 37 28.49,-26 16 48.0, 6.19,        ,                                          STAR B7IV,
,HR 1628,         ,05 02 09.79,-26 16 30.0, 5.02,        ,                                         STAR K1III,
,HR 6520,         ,17 31 44.40,-26 16 10.9, 6.05,        ,                                            STAR B9,
,HR 5917,4    Sco ,15 55 30.10,-26 15 56.9, 5.62,        ,                                           STAR A3V,
,HR 3420,Eta Pyx  ,08 37 52.20,-26 15 18.0, 5.27,W       ,                                           STAR A0V,
,HR 8999,         ,23 44 28.90,-26 14 47.0, 6.17,        ,                                           STAR F4V,
,HR 436 ,         ,01 30 22.90,-26 12 28.1, 5.93,        ,                                         STAR K4III,
,HR 7618,60    Sgr,19 58 57.19,-26 11 44.2, 4.83,        ,                                         STAR G6III,
,HR 5658,         ,15 13 53.30,-26 11 37.0, 5.84,        ,                                               STAR,
,HR 8253,8    PsA ,21 36 10.99,-26 10 17.0, 5.73,W       ,                                          STAR A7IV,
,HR 1655,         ,05 05 16.20,-26 09 09.0, 5.73,        ,                                         STAR K2III,
,HR 3339,         ,08 27 53.50,-26 07 57.0, 6.62,        ,                                          STAR A2IV,
,HR 2912,         ,07 34 28.80,-26 07 00.1, 6.65,        ,                                           STAR A0V,
,HR 5167,         ,13 45 36.89,-26 06 58.0, 5.81,        ,                                           STAR A1V,
,HR 5944,6Pi  Sco ,15 58 51.10,-26 06 51.1, 2.89,        ,                                           STAR B1V,
,HR 980 ,         ,03 15 00.19,-26 06 01.1, 6.25,        ,                                           STAR A5V,
,HR 5516,56    Hya,14 47 44.81,-26 05 15.0, 5.24,        ,                                         STAR G5III,
,HR 8570,Zet PsA  ,22 30 53.71,-26 04 25.0, 6.43,        ,                                         STAR K1III,
,HR 42  ,         ,00 13 42.10,-26 01 18.8, 5.94,        ,                                         STAR K5III,
,HR 7910,         ,20 41 24.10,-26 00 00.0, 6.28,        ,                                         STAR K2III,
,HR 3718,The Pyx  ,09 21 29.59,-25 57 56.2, 4.72,        ,                                         STAR M1III,
,HR 683 ,         ,02 18 58.51,-25 56 44.2, 6.34,        ,                                           STAR G5V,
,HR 6490,         ,17 26 55.20,-25 56 35.9, 6.44,        ,                                           STAR A0V,
,HR 2718,26    CMa,07 12 12.19,-25 56 33.0, 5.92,        ,                                           STAR B2V,
,HR 3034,Omi Pup  ,07 48 05.21,-25 56 13.9, 4.50,        ,                                           STAR B0V,
,HR 3919,         ,09 54 12.31,-25 55 57.0, 4.88,        ,                                         STAR K2III,
,HR 8674,         ,22 47 56.21,-25 54 42.8, 6.30,        ,                                         STAR G5III,
,HR 1694,         ,05 10 44.50,-25 54 33.8, 6.41,        ,                                         STAR K1III,
,HR 4579,         ,11 58 54.41,-25 54 32.0, 6.43,        ,                                           STAR A0V,
,HR 7277,         ,19 13 13.70,-25 54 24.1, 5.80,        ,                                           STAR K1I,
,HR 8492,         ,22 16 37.39,-25 53 53.9, 6.15,        ,                                          STAR K1II,
,HR 2802,         ,07 21 04.30,-25 53 29.0, 5.87,        ,                                         STAR M4III,
,HR 5969,         ,16 03 20.59,-25 51 55.1, 5.00,        ,                                         STAR K5III,
,HR 3628,Kap Pyx  ,09 08 02.90,-25 51 29.9, 4.58,        ,                                         STAR K4III,
,HR 2349,         ,06 27 11.21,-25 51 24.1, 6.07,W       ,                                           STAR F9V,
,HR 703 ,         ,02 24 20.11,-25 50 51.0, 6.44,        ,                                         STAR K3III,
,HR 5356,         ,14 19 00.79,-25 48 56.2, 5.87,        ,                                           STAR F5V,
,HR 5614,         ,15 05 47.69,-25 47 22.9, 6.67,        ,                                           STAR B8V,
